"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"INDUSINDBK","939.80","942.90","3.10","0.33","942.90",9617,"9,067,869.30","533,574,127,020.30","1,585.00","235.55"
"BAJAJFINSV","9,171.60","9,201.00","29.40","0.32","9,201.00",879,"8,087,679.00","554,627,092,928.35","9,950.00","3,985.30"
"CUMMINSIND","635.00","637.00","2.00","0.31","637.00",1800,"1,146,600.00","86,250,780,000.00","652.80","280.00"
"BERGEPAINT","810.60","813.00","2.40","0.30","813.00",2574,"2,092,662.00","196,817,688,417.00","812.95","389.35"
"DLF","248.30","249.00","0.70","0.28","249.00",13547,"3,373,203.00","153,655,180,859.70","266.55","114.55"
"GLENMARK","517.65","519.10","1.45","0.28","519.10",1220,"633,302.00","77,414,103,355.30","573.05","161.65"
"UBL","1,249.95","1,253.40","3.45","0.28","1,253.40",637,"798,415.80","138,807,150,716.87","1,356.00","749.50"
"RELIANCE","1,933.70","1,938.80","5.10","0.26","1,938.80",44717,"86,697,319.60","6,251,874,025,334.64","2,369.35","866.98"
"NESTLEIND","18,306.25","18,350.00","43.75","0.24","18,350.00",122,"2,238,700.00","653,053,774,379.25","18,844.00","12,200.00"
"BHARTIARTL","540.25","541.50","1.25","0.23","541.50",26148,"14,159,142.00","1,296,840,538,857.05","612.00","361.75"
"EICHERMOT","2,760.85","2,767.00","6.15","0.22","2,767.00",2164,"5,987,788.00","384,742,056,201.30","2,771.30","1,245.01"
"ESCORTS","1,349.00","1,352.00","3.00","0.22","1,352.00",2620,"3,542,240.00","94,583,751,357.68","1,452.65","526.05"
"HINDPETRO","225.50","226.00","0.50","0.22","226.00",5715,"1,291,590.00","167,308,716,791.76","257.80","150.00"
"POWERGRID","203.55","204.00","0.45","0.22","204.00",20045,"4,089,180.00","521,796,135,696.70","211.00","122.15"
"MANAPPURAM","174.25","174.60","0.35","0.20","174.60",11989,"2,093,279.40","94,365,963,378.08","194.80","74.25"
"MFSL","726.85","728.00","1.15","0.16","728.00",622,"452,816.00","119,523,539,221.76","740.45","276.35"
"MGL","1,116.55","1,118.10","1.55","0.14","1,118.10",610,"682,041.00","63,968,390,255.02","1,246.20","663.90"
"MRF","80,602.10","80,700.00","97.90","0.12","80,700.00",66,"5,326,200.00","167,504,065,778.15","81,399.00","49,915.10"
"BHARATFORG","603.30","604.00","0.70","0.12","604.00",1520,"918,080.00","151,680,395,710.22","606.00","207.50"
"LUPIN","1,038.80","1,040.00","1.20","0.12","1,040.00",2510,"2,610,400.00","249,631,049,812.34","1,122.30","504.75"
"DRREDDY","5,338.25","5,344.00","5.75","0.11","5,344.00",893,"4,772,192.00","648,050,869,948.01","5,512.65","2,495.05"
"TVSMOTOR","513.35","513.90","0.55","0.11","513.90",3317,"1,704,606.30","102,432,107,388.20","519.50","240.10"
"SAIL","77.05","77.10","0.05","0.06","77.10",79187,"6,105,317.70","79,564,243,379.36","80.30","20.15"
"BAJAJ-AUTO","3,529.15","3,531.00","1.85","0.05","3,531.00",1576,"5,564,856.00","459,548,828,384.85","3,544.60","1,788.65"
"IOC","96.15","96.20","0.05","0.05","96.20",37001,"3,559,496.20","244,396,272,694.58","128.20","71.15"
"CIPLA","838.70","839.00","0.30","0.04","839.00",5004,"4,198,356.00","426,110,797,292.48","846.20","355.30"
"SRF","5,916.95","5,919.00","2.05","0.03","5,919.00",353,"2,089,407.00","171,769,948,705.13","5,965.00","2,467.65"
"RECLTD","144.75","144.80","0.05","0.03","144.80",10649,"1,541,975.20","134,358,608,835.00","156.50","78.75"
"ASIANPAINT","2,844.70","2,845.00","0.30","0.01","2,845.00",3033,"8,628,885.00","1,282,456,078,010.11","2,849.80","1,431.20"
"SIEMENS","1,654.90","1,654.90","-","-","1,654.90",261,"431,928.90","147,335,852,499.88","1,665.00","947.90"
"JSWSTEEL","402.85","402.85","-","-","402.85",13440,"5,414,304.00","389,510,901,701.60","413.10","132.50"
"CANBK","131.00","131.00","-","-","131.00",82027,"10,745,537.00","66,874,039,114.20","226.75","73.65"
"PIDILITIND","1,819.05","1,819.05","-","-","1,819.05",1031,"1,875,440.55","277,301,955,760.20","1,823.90","1,185.55"
"L&TFH","103.15","103.15","-","-","103.15",22188,"2,288,692.20","66,246,365,307.60","134.00","45.90"
"HEROMOTOCO","3,161.10","3,161.00","-0.10","-0.00","3,161.00",7801,"24,658,961.00","410,465,504,781.15","3,394.90","1,475.00"
