"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"SBILIFE","936.25","934.80","-1.45","-0.15","934.80",1102,"1,030,149.60","365,155,438,840.24","1,020.00","519.40"
"TORNTPOWER","334.55","334.00","-0.55","-0.16","334.00",1295,"432,530.00","56,276,620,780.52","368.90","231.95"
"COFORGE","2,817.05","2,812.40","-4.65","-0.17","2,812.40",281,"790,284.40","49,496,591,399.03","2,909.55","735.35"
"MOTHERSUMI","169.30","169.00","-0.30","-0.18","169.00",8113,"1,371,097.00","203,162,541,203.16","171.00","48.65"
"GMRINFRA","26.90","26.85","-0.05","-0.19","26.85",12690,"340,726.50","55,204,755,485.15","29.35","14.10"
"JUBLFOOD","2,926.45","2,921.00","-5.45","-0.19","2,921.00",2171,"6,341,491.00","223,996,462,322.64","2,988.10","1,138.25"
"JINDALSTEL","293.05","292.50","-0.55","-0.19","292.50",7453,"2,180,002.50","119,566,272,120.62","304.65","62.00"
"SIEMENS","1,659.20","1,656.00","-3.20","-0.19","1,656.00",185,"306,360.00","147,718,681,774.00","1,673.00","947.90"
"ACC","1,787.05","1,783.00","-4.05","-0.23","1,783.00",813,"1,449,579.00","151,013,352,754.87","1,799.00","895.15"
"HEROMOTOCO","3,197.70","3,190.00","-7.70","-0.24","3,190.00",2080,"6,635,200.00","415,217,976,223.05","3,394.90","1,475.00"
"TITAN","1,563.90","1,560.00","-3.90","-0.25","1,560.00",1620,"2,527,200.00","652,552,124,543.28","1,621.35","720.90"
"ADANIPORTS","508.35","507.00","-1.35","-0.27","507.00",12615,"6,395,805.00","371,822,762,773.57","527.35","203.00"
"LICHSGFIN","430.75","429.60","-1.15","-0.27","429.60",2726,"1,171,089.60","130,430,152,350.00","486.75","185.25"
"HCLTECH","1,055.10","1,052.00","-3.10","-0.29","1,052.00",16623,"17,487,396.00","1,145,275,217,115.84","1,059.05","375.25"
"BOSCHLTD","13,919.65","13,875.25","-44.40","-0.32","13,875.25",49,"679,887.25","119,056,932,347.54","15,550.00","7,850.00"
"CUMMINSIND","624.05","622.00","-2.05","-0.33","622.00",1150,"715,300.00","84,763,463,400.00","652.80","280.00"
"TATAPOWER","83.30","83.00","-0.30","-0.36","83.00",40383,"3,351,789.00","141,071,045,660.50","84.60","27.00"
"EXIDEIND","198.75","198.00","-0.75","-0.38","198.00",10431,"2,065,338.00","91,226,250,000.00","208.25","124.70"
"NMDC","128.80","128.30","-0.50","-0.39","128.30",16946,"2,174,171.80","118,309,870,823.76","139.70","61.55"
"PETRONET","269.85","268.80","-1.05","-0.39","268.80",3486,"937,036.80","202,387,511,873.40","280.75","170.40"
"CHOLAFIN","426.80","425.10","-1.70","-0.40","425.10",3643,"1,548,639.30","167,920,309,250.50","446.55","117.40"
"IOC","96.00","95.60","-0.40","-0.42","95.60",32743,"3,130,230.80","244,014,999,258.24","128.20","71.15"
"KOTAKBANK","1,938.15","1,929.80","-8.35","-0.43","1,929.80",6267,"12,094,056.60","2,839,469,180,968.87","2,027.00","1,001.00"
"IDEA","11.50","11.45","-0.05","-0.43","11.45",227282,"2,602,378.90","92,527,953,352.80","13.50","2.70"
"IGL","557.50","555.00","-2.50","-0.45","555.00",2870,"1,592,850.00","195,125,223,000.00","560.00","284.05"
"BANDHANBNK","408.40","406.50","-1.90","-0.47","406.50",15701,"6,382,456.50","276,223,867,146.53","526.00","152.20"
"HDFC","2,751.20","2,738.00","-13.20","-0.48","2,738.00",42450,"116,228,100.00","4,944,233,470,909.60","2,762.00","1,473.45"
"BHARATFORG","610.95","608.00","-2.95","-0.48","608.00",2444,"1,485,952.00","153,603,742,349.02","622.85","207.50"
"SRTRANSFIN","1,251.65","1,245.00","-6.65","-0.53","1,245.00",2530,"3,149,850.00","234,390,887,632.37","1,340.20","431.37"
"ONGC","102.55","102.00","-0.55","-0.54","102.00",94774,"9,666,948.00","374,131,213,446.84","126.75","50.00"
"UPL","497.45","494.75","-2.70","-0.54","494.75",8210,"4,061,897.50","273,653,576,702.78","605.75","240.15"
"BANKBARODA","64.25","63.90","-0.35","-0.54","63.90",84806,"5,419,103.40","77,186,564,819.13","99.00","36.00"
"PNB","34.90","34.70","-0.20","-0.57","34.70",148845,"5,164,921.50","84,104,355,220.08","64.10","26.30"
"RECLTD","142.05","141.20","-0.85","-0.60","141.20",3246,"458,335.20","131,852,437,893.00","156.50","78.75"
"ASHOKLEY","116.95","116.20","-0.75","-0.64","116.20",44547,"5,176,361.40","168,221,858,314.82","118.15","33.70"
"ICICIBANK","544.70","541.00","-3.70","-0.68","541.00",30312,"16,398,792.00","3,760,249,727,768.30","554.40","268.30"
"DLF","246.95","245.20","-1.75","-0.71","245.20",6400,"1,569,280.00","152,819,762,035.05","266.55","114.55"
"AXISBANK","666.95","661.30","-5.65","-0.85","661.30",19046,"12,595,119.80","1,653,733,919,837.14","760.70","286.00"
"MARUTI","8,232.75","8,161.00","-71.75","-0.87","8,161.00",4383,"35,769,663.00","1,094,257,830,144.60","8,288.00","4,001.10"
"IBULHSGFIN","234.55","232.50","-2.05","-0.87","232.50",22550,"5,242,875.00","81,332,951,223.08","361.00","81.00"
"SBIN","282.50","280.00","-2.50","-0.88","280.00",69513,"19,463,640.00","1,084,117,186,092.65","335.45","149.45"
"L&TFH","100.95","100.00","-0.95","-0.94","100.00",33569,"3,356,900.00","64,833,452,038.80","134.00","45.90"
"NAUKRI","5,478.90","5,426.00","-52.90","-0.97","5,426.00",493,"2,675,018.00","415,654,725,690.12","5,880.00","1,581.10"
"INDUSINDBK","929.10","920.00","-9.10","-0.98","920.00",13008,"11,967,360.00","527,499,171,541.35","1,585.00","235.55"
"IDFCFIRSTB","44.45","44.00","-0.45","-1.01","44.00",79409,"3,493,996.00","93,291,284,486.40","47.60","17.65"
"VOLTAS","914.30","905.00","-9.30","-1.02","905.00",2736,"2,476,080.00","211,769,542,447.40","917.90","427.45"
"FEDERALBNK","74.80","74.00","-0.80","-1.07","74.00",36106,"2,671,844.00","149,351,518,065.20","96.95","35.70"
"ESCORTS","1,354.95","1,340.00","-14.95","-1.10","1,340.00",3311,"4,436,740.00","95,000,929,504.88","1,452.65","526.05"
"RBLBANK","255.95","253.00","-2.95","-1.15","253.00",22620,"5,722,860.00","114,746,313,064.65","365.00","101.55"
"POWERGRID","203.55","201.05","-2.50","-1.23","201.05",12222,"2,457,233.10","521,796,135,696.70","211.00","122.15"
"HINDALCO","264.70","260.45","-4.25","-1.61","260.45",17979,"4,682,630.55","386,535,827,397.59","275.40","84.90"
